"Expense Code,Month,Expense Quantity,Government Entity",
"10003,42948,1530,Ministry of Education",
"10003,42979,3060,Ministry of Education",
"10007,42917,1792,Ministry of Health",
"10007,42979,2048,Ministry of Health",
"10007,43132,1024,Ministry of Health",
"10029,42887,8,Ministry of Health",
"10035,42887,400,Ministry of Health",
"10035,43009,700,Ministry of Health",
"10035,43160,600,Ministry of Health",
"10042,42826,456,Ministry of Education",
"10042,42917,76,Ministry of Education",
"10042,43009,570,Ministry of Education",
"10042,43191,570,Ministry of Education",
"10042,43101,38,Ministry of Education",
"10058,42826,300,Ministry of Health",
"10058,43009,800,Ministry of Health",
"10058,43191,2100,Ministry of Health",
"10063,43040,936,Ministry of Education",
"10063,43221,468,Ministry of Education",
"10091,42887,924,Ministry of Energy",
"10095,43009,6600,Ministry of Health",
"10096,42887,31467,Ministry of Health",
"10096,42948,68504,Ministry of Health",
"10096,43070,25860,Ministry of Health",
"10096,42856,113460,Ministry of Health",
"10096,43040,24934,Ministry of Health",
"10096,43221,74802,Ministry of Health",
"10096,43160,59292,Ministry of Health",
"10096,43009,28670,Ministry of Health",
"10096,43101,17202,Ministry of Health",
"10096,42826,20030,Ministry of Health",
"10096,43191,8012,Ministry of Health",
"10096,43132,6400,Ministry of Health",
"10096,42979,7320,Ministry of Health",
"10096,42917,5118,Ministry of Health",
"10098,43040,1390,Ministry of Education",
"10098,43132,3336,Ministry of Education",
"10098,43221,4170,Ministry of Education",
"10143,42887,12582,Ministry of Health",
"10143,43009,6291,Ministry of Health",
"10143,43160,8388,Ministry of Health",
"10155,42979,650,Ministry of Education",
"10155,42948,11700,Ministry of Education",
"10158,42887,300,Ministry of Health",
"10158,43009,500,Ministry of Health",
"10158,43160,1500,Ministry of Health",
"10167,42887,360,Ministry of Health",
"10167,43070,72,Ministry of Health",
"10180,43040,12,Ministry of Energy",
"10180,43221,72,Ministry of Energy",
"10184,43070,13041,Ministry of Health",
"10184,42887,10143,Ministry of Health",
"10184,42948,9660,Ministry of Health",
"10184,42979,1449,Ministry of Health",
"10185,42948,14028,Ministry of Health",
"10185,42979,14720,Ministry of Health",
"10185,43160,5130,Ministry of Health",
"10185,43101,5310,Ministry of Health",
"10185,43132,2000,Ministry of Health",
"10185,43009,2454,Ministry of Health",
"10185,42826,10233,Ministry of Health",
"10185,43191,3032,Ministry of Health",
"10185,42887,6318,Ministry of Health",
"10185,42887,2552,Ministry of Energy",
"10185,42948,3828,Ministry of Energy",
"10185,43070,9570,Ministry of Energy",
"10185,42979,957,Ministry of Energy",
"10185,43070,4900,Ministry of Health",
"10185,42917,1840,Ministry of Health",
"10185,43040,427,Ministry of Health",
"10185,43221,1830,Ministry of Health",
"10185,42856,684,Ministry of Health",
"10197,42826,240,Ministry of Health",
"10197,43009,-560,Ministry of Health",
"10197,43191,560,Ministry of Health",
"10203,42887,294,Ministry of Energy",
"10203,43070,735,Ministry of Energy",
"10212,43040,300,Ministry of Energy",
"10212,43132,400,Ministry of Energy",
"10212,43221,200,Ministry of Energy",
"10213,42917,75,Ministry of Energy",
"10220,43132,45000,Ministry of Health",
"10221,43101,5850,Ministry of Health",
"10227,42887,10,Ministry of Energy",
"10229,42826,372,Ministry of Health",
"10229,43070,1302,Ministry of Health",
"10229,43191,279,Ministry of Health",
"10229,42856,651,Ministry of Health",
"10244,43040,5250,Ministry of Health",
"10244,43132,750,Ministry of Health",
"10244,43160,4500,Ministry of Health",
"10244,43221,15750,Ministry of Health",
"10244,42856,13500,Ministry of Health",
"10255,42917,1250,Ministry of Energy",
"10268,42917,9,Ministry of Education",
"10268,43040,63,Ministry of Education",
"10268,42979,72,Ministry of Education",
"10268,42948,180,Ministry of Education",
"10268,43132,243,Ministry of Education",
"10268,43101,54,Ministry of Education",
"10268,43221,72,Ministry of Education",
"10289,43040,4860,Ministry of Education",
"10289,42917,324,Ministry of Education",
"10289,42979,3240,Ministry of Education",
"10289,43101,486,Ministry of Education",
"10289,42948,324,Ministry of Education",
"10289,43132,648,Ministry of Education",
"10289,43221,3240,Ministry of Education",
"10302,42826,72,Ministry of Health",
"10302,43009,72,Ministry of Health",
"10302,43191,90,Ministry of Health",
"10329,42826,540,Ministry of Energy",
"10329,42917,1458,Ministry of Energy",
"10329,43009,1620,Ministry of Energy",
"10329,43101,378,Ministry of Energy",
"10329,43191,648,Ministry of Energy",
"10348,43040,90,Ministry of Health",
"10348,42917,150,Ministry of Health",
"10348,42979,20,Ministry of Health",
"10348,42948,15,Ministry of Health",
"10348,43132,5,Ministry of Health",
"10348,43101,60,Ministry of Health",
"10348,43221,60,Ministry of Health",
"10376,42887,80,Ministry of Health",
"10376,43070,120,Ministry of Health",
"10416,43040,1432,Ministry of Education",
"10416,42917,1432,Ministry of Education",
"10416,42979,2148,Ministry of Education",
"10416,42948,179,Ministry of Education",
"10416,43132,2148,Ministry of Education",
"10416,43101,1074,Ministry of Education",
"10416,43221,2506,Ministry of Education",
"10479,43040,576,Ministry of Education",
"10479,42948,1152,Ministry of Education",
"10479,43101,576,Ministry of Education",
"10479,43221,1080,Ministry of Education",
"10490,42887,423,Ministry of Health",
"10490,43009,47,Ministry of Health",
"10490,43160,1269,Ministry of Health",
"10531,42826,800,Ministry of Health",
"10531,42887,200,Ministry of Health",
"10531,43070,5400,Ministry of Health",
"10531,43009,1200,Ministry of Health",
"10531,43191,1200,Ministry of Health",
"10531,43160,4000,Ministry of Health",
"10531,42856,200,Ministry of Health",
"10532,42826,15216,Ministry of Housing",
"10532,42887,5706,Ministry of Housing",
"10532,43070,6340,Ministry of Housing",
"10532,43009,13314,Ministry of Housing",
"10532,43191,5072,Ministry of Housing",
"10532,43160,5072,Ministry of Housing",
"10532,42856,6340,Ministry of Housing",
"10544,43040,253,Ministry of Education",
"10544,42948,1771,Ministry of Education",
"10544,43101,2530,Ministry of Education",
"10544,43221,506,Ministry of Education",
"10548,43040,14,Ministry of Energy",
"10548,43221,3,Ministry of Energy",
"10549,42826,224,Ministry of Education",
"10549,42887,1008,Ministry of Education",
"10549,43009,448,Ministry of Education",
"10549,43070,112,Ministry of Education",
"10549,43191,336,Ministry of Education",
"10549,43160,448,Ministry of Education",
"10549,42856,560,Ministry of Education",
"10551,43009,7992,Ministry of Health",
"10585,42887,459,Ministry of Education",
"10585,43009,918,Ministry of Education",
"10585,43160,1071,Ministry of Education",
"10608,42917,648,Ministry of Health",
"10608,43132,324,Ministry of Health",
"10608,42979,864,Ministry of Health",
"10611,43009,1212,Ministry of Education",
"10611,42826,4848,Ministry of Education",
"10611,42887,2424,Ministry of Education",
"10611,42856,2424,Ministry of Education",
"10611,43191,808,Ministry of Education",
"10611,43070,4848,Ministry of Education",
"10611,43160,2424,Ministry of Education",
"10619,42887,13700,Ministry of Health",
"10619,43070,5480,Ministry of Health",
"10619,42979,1370,Ministry of Health",
"10619,42948,12330,Ministry of Health",
"10622,43101,183,Ministry of Health",
"10624,42856,1800,Ministry of Health",
"10640,42887,420,Ministry of Housing",
"10705,43040,564,Ministry of Health",
"10705,43132,188,Ministry of Health",
"10705,43160,282,Ministry of Health",
"10705,43221,376,Ministry of Health",
"10705,42856,1504,Ministry of Health",
"10740,42826,259,Ministry of Education",
"10740,42887,888,Ministry of Education",
"10740,43009,444,Ministry of Education",
"10740,43070,333,Ministry of Education",
"10740,43191,222,Ministry of Education",
"10740,43160,370,Ministry of Education",
"10740,42856,259,Ministry of Education",
"10742,42917,18,Ministry of Education",
"10742,42979,18,Ministry of Education",
"10742,43132,18,Ministry of Education",
"10769,42826,24,Ministry of Education",
"10769,43040,72,Ministry of Education",
"10769,42887,36,Ministry of Education",
"10769,42917,96,Ministry of Education",
"10769,43009,360,Ministry of Education",
"10769,43070,180,Ministry of Education",
"10769,42948,216,Ministry of Education",
"10769,42979,72,Ministry of Education",
"10769,43132,324,Ministry of Education",
"10769,43191,360,Ministry of Education",
"10769,43160,84,Ministry of Education",
"10769,43101,60,Ministry of Education",
"10769,43221,12,Ministry of Education",
"10769,42856,72,Ministry of Education",
"10770,42826,90,Ministry of Education",
"10770,42917,60,Ministry of Education",
"10770,43009,90,Ministry of Education",
"10770,43191,210,Ministry of Education",
"10770,43101,180,Ministry of Education",
"10771,43040,504,Ministry of Education",
"10771,42948,360,Ministry of Education",
"10771,43101,144,Ministry of Education",
"10771,43221,288,Ministry of Education",
"10772,42887,714,Ministry of Education",
"10772,43070,1904,Ministry of Education",
"10773,43040,432,Ministry of Education",
"10773,42948,1296,Ministry of Education",
"10773,43101,216,Ministry of Education",
"10773,43221,1944,Ministry of Education",
"10809,43040,1292,Ministry of Energy",
"10809,42917,1615,Ministry of Energy",
"10809,42948,2907,Ministry of Energy",
"10809,42979,8721,Ministry of Energy",
"10809,43132,5814,Ministry of Energy",
"10809,43101,7752,Ministry of Energy",
"10809,43221,646,Ministry of Energy",
"10812,42887,9918,Ministry of Health",
"10812,43070,6612,Ministry of Health",
"10812,42948,6612,Ministry of Health",
"10812,42979,9918,Ministry of Health",
"10820,42917,18630,Ministry of Education",
"10831,43040,12,Ministry of Health",
"10831,43132,18,Ministry of Health",
"10831,43221,36,Ministry of Health",
"10871,43160,112,Ministry of Education",
"10871,42856,48,Ministry of Education",
"10875,42887,150,Ministry of Education",
"10878,42948,500,Ministry of Education",
"10885,42826,1430,Ministry of Energy",
"10885,42887,858,Ministry of Energy",
"10885,43009,3003,Ministry of Energy",
"10885,43070,858,Ministry of Energy",
"10885,43191,-3432,Ministry of Energy",
"10885,43160,2574,Ministry of Energy",
"10885,42856,1430,Ministry of Energy",
"10891,42826,3000,Ministry of Health",
"10891,43191,2100,Ministry of Health",
"10904,42826,21,Ministry of Energy",
"10904,42887,14,Ministry of Energy",
"10904,43009,14,Ministry of Energy",
"10904,43070,70,Ministry of Energy",
"10904,43191,98,Ministry of Energy",
"10904,43160,84,Ministry of Energy",
"10904,42856,42,Ministry of Energy",
"10911,43040,18,Ministry of Education",
"10911,42917,90,Ministry of Education",
"10911,42948,81,Ministry of Education",
"10911,42979,36,Ministry of Education",
"10911,43101,81,Ministry of Education",
"10911,43132,36,Ministry of Education",
"10911,43221,45,Ministry of Education",
"10914,42887,300,Ministry of Education",
"10914,43070,1200,Ministry of Education",
"10927,43132,24,Ministry of Energy",
"10936,42948,5400,Ministry of Education",
"10966,43040,108,Ministry of Education",
"10966,43132,90,Ministry of Education",
"10966,43160,108,Ministry of Education",
"10966,43221,12,Ministry of Education",
"10966,42856,6,Ministry of Education",
"10970,42887,2700,Ministry of Education",
"10970,43009,1620,Ministry of Education",
"10970,43160,2700,Ministry of Education",
"10975,43040,162,Ministry of Health",
"10975,43132,36,Ministry of Health",
"10975,43221,486,Ministry of Health",
"10996,42917,525,Ministry of Energy",
"10996,43101,50,Ministry of Energy",
"10998,43040,140,Ministry of Energy",
"10998,42948,126,Ministry of Energy",
"10998,42917,378,Ministry of Energy",
"10998,42979,112,Ministry of Energy",
"10998,43101,378,Ministry of Energy",
"10998,43132,70,Ministry of Energy",
"10998,43221,56,Ministry of Energy",
"11010,43070,460,Ministry of Energy",
"11015,42917,21114,Ministry of Health",
"11015,43040,9384,Ministry of Health",
"11015,42948,782,Ministry of Health",
"11015,43101,1564,Ministry of Health",
"11015,43132,2346,Ministry of Health",
"11015,43221,18768,Ministry of Health",
"11015,42979,4692,Ministry of Health",
"11025,42826,4392,Ministry of Energy",
"11025,43070,2928,Ministry of Energy",
"11025,43191,2196,Ministry of Energy",
"11025,42856,4392,Ministry of Energy",
"11036,43040,28,Ministry of Energy",
"11036,42917,56,Ministry of Energy",
"11036,42979,196,Ministry of Energy",
"11036,43101,252,Ministry of Energy",
"11036,42948,252,Ministry of Energy",
"11036,43132,42,Ministry of Energy",
"11036,43221,70,Ministry of Energy",
"11053,43040,8631,Ministry of Housing",
"11053,42917,18495,Ministry of Housing",
"11053,42979,1233,Ministry of Housing",
"11053,42948,14796,Ministry of Housing",
"11053,43132,8631,Ministry of Housing",
"11053,43101,19728,Ministry of Housing",
"11053,43221,3699,Ministry of Housing",
"11067,43040,4800,Ministry of Health",
"11067,43132,6000,Ministry of Health",
"11067,43221,1200,Ministry of Health",
"11095,42826,450,Ministry of Health",
"11095,43009,150,Ministry of Health",
"11095,43191,675,Ministry of Health",
"11100,43040,3672,Ministry of Education",
"11100,42917,1632,Ministry of Education",
"11100,42979,1224,Ministry of Education",
"11100,42948,408,Ministry of Education",
"11100,43132,2720,Ministry of Education",
"11100,43101,2720,Ministry of Education",
"11100,43221,2720,Ministry of Education",
"11124,42979,750,Ministry of Energy",
"11124,42948,675,Ministry of Energy",
"11149,43040,156,Ministry of Health",
"11149,43132,312,Ministry of Health",
"11149,43160,520,Ministry of Health",
"11149,43221,936,Ministry of Health",
"11149,42856,156,Ministry of Health",
"11158,43040,234,Ministry of Education",
"11158,43221,117,Ministry of Education",
"11206,42948,120,Ministry of Health",
"11215,42887,88,Ministry of Health",
"11215,43070,264,Ministry of Health",
"11216,42887,70,Ministry of Health",
"11216,43070,30,Ministry of Health",
"11250,43160,200,Ministry of Health",
"11250,42856,700,Ministry of Health",
"11282,42887,134,Ministry of Energy",
"11282,43070,2010,Ministry of Energy",
"11282,42979,1340,Ministry of Energy",
"11282,42948,335,Ministry of Energy",
"11291,43132,85488,Ministry of Energy",
"11291,42856,32058,Ministry of Energy",
"11291,43040,96174,Ministry of Energy",
"11291,43160,32058,Ministry of Energy",
"11291,43221,96174,Ministry of Energy",
"11291,43040,1242,Ministry of Housing",
"11291,42917,1449,Ministry of Housing",
"11291,42979,1863,Ministry of Housing",
"11291,43101,414,Ministry of Housing",
"11291,42948,4968,Ministry of Housing",
"11291,43132,1035,Ministry of Housing",
"11291,43221,1242,Ministry of Housing",
"11325,42917,120,Ministry of Health",
"11325,43101,900,Ministry of Health",
"11342,43009,60,Ministry of Health",
"11347,42979,666,Ministry of Health",
"11347,42948,1110,Ministry of Health",
"11380,42917,1365,Ministry of Education",
"11380,43101,273,Ministry of Education",
"11384,43009,90,Ministry of Health",
"11385,42887,11732,Ministry of Energy",
"11385,43070,5028,Ministry of Energy",
"11385,42887,1500,Ministry of Health",
"11385,43070,2100,Ministry of Health",
"11387,43160,207,Ministry of Energy",
"11387,42856,276,Ministry of Energy",
"11390,42917,17178,Ministry of Health",
"11390,42979,11452,Ministry of Health",
"11390,43132,11452,Ministry of Health",
"11392,42917,9804,Ministry of Energy",
"11392,43101,13072,Ministry of Energy",
"11396,42917,450,Ministry of Energy",
"11396,43132,1350,Ministry of Energy",
"11396,42979,900,Ministry of Energy",
"11397,42917,950,Ministry of Energy",
"11398,42856,2000,Ministry of Energy",
"11400,42887,469,Ministry of Energy",
"11400,43009,67,Ministry of Energy",
"11400,43160,402,Ministry of Energy",
"11401,43040,5000,Ministry of Health",
"11401,43221,15000,Ministry of Health",
"11402,42917,6447,Ministry of Education",
"11402,43132,3070,Ministry of Education",
"11402,42979,1842,Ministry of Education",
"11403,42856,21,Ministry of Education",
"11403,43040,84,Ministry of Education",
"11403,43132,56,Ministry of Education",
"11403,43160,35,Ministry of Education",
"11403,43221,70,Ministry of Education",
"11404,42948,412,Ministry of Energy",
"11404,43040,206,Ministry of Energy",
"11404,43221,309,Ministry of Energy",
"11404,43132,824,Ministry of Energy",
"11404,42979,309,Ministry of Energy",
"11404,42917,1030,Ministry of Energy",
"11404,43101,1442,Ministry of Energy",
"11405,43040,2730,Ministry of Energy",
"11405,43221,4550,Ministry of Energy",
"11406,43132,42,Ministry of Health",
"11406,42979,7,Ministry of Health",
"11406,42917,210,Ministry of Health",
"11407,42887,1539,Ministry of Health",
"11407,43009,228,Ministry of Health",
"11407,43160,342,Ministry of Health",
"11408,42917,1944,Ministry of Energy",
"11408,43132,12960,Ministry of Energy",
"11408,42979,648,Ministry of Energy",
"11409,42887,1800,Ministry of Energy",
"11410,43040,432,Ministry of Education",
"11410,42856,160,Ministry of Education",
"11410,43132,160,Ministry of Education",
"11410,43160,160,Ministry of Education",
"11410,43221,32,Ministry of Education",
"11412,43040,15,Ministry of Energy",
"11412,43221,54,Ministry of Energy",
"11413,42856,50,Ministry of Education",
"11413,43040,150,Ministry of Education",
"11413,43221,225,Ministry of Education",
"11413,43132,75,Ministry of Education",
"11413,43160,100,Ministry of Education",
"11414,42826,56,Ministry of Education",
"11414,42856,168,Ministry of Education",
"11414,42887,96,Ministry of Education",
"11414,43070,80,Ministry of Education",
"11414,43009,48,Ministry of Education",
"11414,43160,56,Ministry of Education",
"11414,43191,120,Ministry of Education",
"11415,42948,32,Ministry of Education",
"11415,42979,32,Ministry of Education",
"11416,42856,4030,Ministry of Education",
"11416,43040,10881,Ministry of Education",
"11416,43221,806,Ministry of Education",
"11416,43132,4836,Ministry of Education",
"11416,43160,3224,Ministry of Education",
"11436,43132,70,Ministry of Housing",
"11436,42917,112,Ministry of Housing",
"11436,42979,14,Ministry of Housing",
"11444,43040,485,Ministry of Health",
"11444,43132,1552,Ministry of Health",
"11444,43160,873,Ministry of Health",
"11444,43221,2619,Ministry of Health",
"11444,42856,970,Ministry of Health",
"11445,42948,1680,Ministry of Health",
"11445,43040,2835,Ministry of Health",
"11445,42917,1260,Ministry of Health",
"11445,43101,3150,Ministry of Health",
"11445,43132,735,Ministry of Health",
"11445,43221,525,Ministry of Health",
"11445,42979,2835,Ministry of Health",
"11453,42917,9990,Ministry of Health",
"11459,42887,630,Ministry of Education",
"11459,43009,240,Ministry of Education",
"11459,43160,150,Ministry of Education",
"11464,43040,150,Ministry of Education",
"11464,43132,400,Ministry of Education",
"11464,43221,700,Ministry of Education",
"11474,42826,12,Ministry of Health",
"11474,43191,40,Ministry of Health",
"11475,43040,711,Ministry of Health",
"11475,42948,790,Ministry of Health",
"11475,43101,2370,Ministry of Health",
"11475,43221,1106,Ministry of Health",
"11504,43040,3006,Ministry of Education",
"11504,42917,2004,Ministry of Education",
"11504,42979,3006,Ministry of Education",
"11504,43132,7014,Ministry of Education",
"11504,42948,2004,Ministry of Education",
"11504,43101,9018,Ministry of Education",
"11504,43221,16032,Ministry of Education",
"11517,43221,14904,Ministry of Education",
"11517,43191,5540,Ministry of Education",
"11517,42948,12720,Ministry of Education",
"11517,43132,4208,Ministry of Education",
"11517,43070,2952,Ministry of Education",
"11517,42979,8838,Ministry of Education",
"11517,43101,6915,Ministry of Education",
"11517,43160,922,Ministry of Education",
"11517,43040,1758,Ministry of Education",
"11517,42826,1044,Ministry of Education",
"11517,42887,2088,Ministry of Education",
"11517,42856,705,Ministry of Education",
"11517,42917,1645,Ministry of Education",
"11517,43009,164,Ministry of Education",
"11518,42887,576,Ministry of Education",
"11518,42948,72,Ministry of Education",
"11518,43070,144,Ministry of Education",
"11518,42979,144,Ministry of Education",
"11522,42948,3276,Ministry of Education",
"11522,43040,3120,Ministry of Education",
"11522,43221,1872,Ministry of Education",
"11522,43132,624,Ministry of Education",
"11522,42979,3276,Ministry of Education",
"11522,42917,3120,Ministry of Education",
"11522,43101,1872,Ministry of Education",
"11523,42826,104,Ministry of Education",
"11523,42856,936,Ministry of Education",
"11523,42887,624,Ministry of Education",
"11523,43070,260,Ministry of Education",
"11523,43009,832,Ministry of Education",
"11523,43160,520,Ministry of Education",
"11523,43191,520,Ministry of Education",
"11524,42948,228,Ministry of Education",
"11524,43040,798,Ministry of Education",
"11524,43221,76,Ministry of Education",
"11524,43132,266,Ministry of Education",
"11524,42979,456,Ministry of Education",
"11524,42917,760,Ministry of Education",
"11524,43101,570,Ministry of Education",
"11525,42948,1650,Ministry of Energy",
"11525,43040,13200,Ministry of Energy",
"11525,43221,9900,Ministry of Energy",
"11525,43132,19800,Ministry of Energy",
"11525,42979,9900,Ministry of Energy",
"11525,42917,4950,Ministry of Energy",
"11525,43101,39600,Ministry of Energy",
"11526,42826,140,Ministry of Education",
"11526,43191,60,Ministry of Education",
"11527,42948,438,Ministry of Education",
"11527,43040,438,Ministry of Education",
"11527,43221,146,Ministry of Education",
"11527,43132,1314,Ministry of Education",
"11527,42979,73,Ministry of Education",
"11527,42917,657,Ministry of Education",
"11527,43101,730,Ministry of Education",
"11528,43040,1740,Ministry of Energy",
"11528,43221,290,Ministry of Energy",
"11528,43132,348,Ministry of Energy",
"11529,42917,1932,Ministry of Energy",
"11529,43101,966,Ministry of Energy",
"11537,43040,324,Ministry of Education",
"11537,42948,360,Ministry of Education",
"11537,43101,180,Ministry of Education",
"11537,43221,504,Ministry of Education",
"11538,43040,432,Ministry of Education",
"11538,42948,36,Ministry of Education",
"11538,43101,504,Ministry of Education",
"11538,43221,216,Ministry of Education",
"11544,42979,900,Ministry of Energy",
"11544,42948,600,Ministry of Energy",
"11569,42826,112,Ministry of Education",
"11569,42917,42,Ministry of Education",
"11569,43009,56,Ministry of Education",
"11569,43191,42,Ministry of Education",
"11569,43101,42,Ministry of Education",
"11570,43132,216,Ministry of Education",
"11571,42887,540,Ministry of Education",
"11571,43070,540,Ministry of Education",
"11599,42887,192,Ministry of Education",
"11599,43070,240,Ministry of Education",
"11601,42826,625,Ministry of Education",
"11601,43191,2250,Ministry of Education",
"11620,42917,25,Ministry of Education",
"11620,42979,40,Ministry of Education",
"11620,43132,15,Ministry of Education",
"11623,43040,91,Ministry of Health",
"11623,43132,351,Ministry of Health",
"11623,43160,130,Ministry of Health",
"11623,43221,39,Ministry of Health",
"11623,42856,130,Ministry of Health",
"11650,42948,1904,Ministry of Health",
"11650,42979,1088,Ministry of Health",
"11668,43160,726,Ministry of Energy",
"11668,42856,2420,Ministry of Energy",
"11688,43160,240,Ministry of Health",
"11688,42856,180,Ministry of Health",
"11704,42826,420,Ministry of Education",
"11704,43191,1260,Ministry of Education",
"11708,42826,72,Ministry of Energy",
"11708,43009,6,Ministry of Energy",
"11708,43191,48,Ministry of Energy",
"11711,42887,282,Ministry of Energy",
"11711,43009,376,Ministry of Energy",
"11711,43160,282,Ministry of Energy",
"11734,42826,252,Ministry of Health",
"11734,42917,84,Ministry of Health",
"11734,43009,168,Ministry of Health",
"11734,43101,168,Ministry of Health",
"11734,43191,672,Ministry of Health",
"11760,43040,190,Ministry of Energy",
"11760,43132,228,Ministry of Energy",
"11760,43160,171,Ministry of Energy",
"11760,43221,76,Ministry of Energy",
"11760,42856,152,Ministry of Energy",
"11763,43040,72,Ministry of Education",
"11763,43101,972,Ministry of Education",
"11763,42948,432,Ministry of Education",
"11763,43221,972,Ministry of Education",
"11766,43009,80,Ministry of Health",
"11788,43040,40,Ministry of Energy",
"11788,43221,24,Ministry of Energy",
"11798,42917,5250,Ministry of Health",
"11798,43101,4000,Ministry of Health",
"11806,43040,4503,Ministry of Energy",
