Expense Code,Expense Amount (SAR),Month,Expense Quantity,Government Entity
10532,4.46,4/1/2017,15216,Ministry of Housing
10532,4.46,6/1/2017,5706,Ministry of Housing
10532,4.46,12/1/2017,6340,Ministry of Housing
10532,4.46,10/1/2017,13314,Ministry of Housing
10532,4.46,4/1/2018,5072,Ministry of Housing
10532,4.46,3/1/2018,5072,Ministry of Housing
10532,4.46,5/1/2017,6340,Ministry of Housing
10640,6.84,6/1/2017,420,Ministry of Housing
11053,0.36,11/1/2017,8631,Ministry of Housing
11053,0.36,7/1/2017,18495,Ministry of Housing
11053,0.36,9/1/2017,1233,Ministry of Housing
11053,0.36,8/1/2017,14796,Ministry of Housing
11053,0.36,2/1/2018,8631,Ministry of Housing
11053,0.36,1/1/2018,19728,Ministry of Housing
11053,0.36,5/1/2018,3699,Ministry of Housing
11291,2.47,2/1/2018,85488,Ministry of Energy
11291,2.47,5/1/2017,32058,Ministry of Energy
11291,2.47,11/1/2017,96174,Ministry of Energy
11291,2.47,3/1/2018,32058,Ministry of Energy
11291,2.47,5/1/2018,96174,Ministry of Energy
11291,2.47,11/1/2017,1242,Ministry of Housing
11291,2.47,7/1/2017,1449,Ministry of Housing
11291,2.47,9/1/2017,1863,Ministry of Housing
11291,2.47,1/1/2018,414,Ministry of Housing
11291,2.47,8/1/2017,4968,Ministry of Housing
11291,2.47,2/1/2018,1035,Ministry of Housing
11291,2.47,5/1/2018,1242,Ministry of Housing
11436,1.7,2/1/2018,70,Ministry of Housing
11436,1.7,7/1/2017,112,Ministry of Housing
11436,1.7,9/1/2017,14,Ministry of Housing
12176,3.04,10/1/2017,250,Ministry of Housing
12260,7.88,7/1/2017,36,Ministry of Housing
12264,1.72,6/1/2017,117,Ministry of Housing
12264,1.72,10/1/2017,104,Ministry of Housing
12264,1.72,3/1/2018,130,Ministry of Housing
12504,4.41,9/1/2017,525,Ministry of Energy
12504,4.41,8/1/2017,350,Ministry of Energy
12504,4.41,4/1/2017,16,Ministry of Housing
12504,4.41,6/1/2017,12,Ministry of Housing
12504,4.41,12/1/2017,24,Ministry of Housing
12504,4.41,10/1/2017,8,Ministry of Housing
12504,4.41,4/1/2018,96,Ministry of Housing
12504,4.41,3/1/2018,60,Ministry of Housing
12504,4.41,5/1/2017,24,Ministry of Housing
12565,7.06,2/1/2018,10969656,Ministry of Energy
12565,7.06,5/1/2018,5470920,Ministry of Energy
12565,7.06,11/1/2017,1254897,Ministry of Energy
12565,7.06,7/1/2017,3693339,Ministry of Energy
12565,7.06,1/1/2018,789490,Ministry of Energy
12565,7.06,8/1/2017,760748,Ministry of Energy
12565,7.06,6/1/2017,9010248,Ministry of Energy
12565,7.06,9/1/2017,5819008,Ministry of Energy
12565,7.06,3/1/2018,698688,Ministry of Energy
12565,7.06,5/1/2017,6207408,Ministry of Energy
12565,7.06,12/1/2017,1977720,Ministry of Energy
12565,7.06,10/1/2017,2507448,Ministry of Energy
12565,7.06,4/1/2018,4015290,Ministry of Energy
12565,7.06,4/1/2017,1033576,Ministry of Energy
12565,7.06,9/1/2017,1838484,Ministry of Health
12565,7.06,2/1/2018,3256470,Ministry of Health
12565,7.06,6/1/2017,173254,Ministry of Health
12565,7.06,8/1/2017,3015144,Ministry of Health
12565,7.06,7/1/2017,1153411,Ministry of Health
12565,7.06,9/1/2017,3343728,Ministry of Education
12565,7.06,5/1/2018,1904238,Ministry of Health
12565,7.06,11/1/2017,270836,Ministry of Health
12565,7.06,1/1/2018,668120,Ministry of Health
12565,7.06,6/1/2017,1198116,Ministry of Education
12565,7.06,8/1/2017,927563,Ministry of Education
12565,7.06,10/1/2017,396723,Ministry of Health
12565,7.06,12/1/2017,386097,Ministry of Education
12565,7.06,3/1/2018,1444980,Ministry of Health
12565,7.06,12/1/2017,2159478,Ministry of Health
12565,7.06,5/1/2017,943641,Ministry of Health
12565,7.06,4/1/2017,1068396,Ministry of Health
12565,7.06,4/1/2018,443240,Ministry of Health
12565,7.06,5/1/2017,2396340,Ministry of Education
12565,7.06,3/1/2018,308388,Ministry of Education
12565,7.06,7/1/2017,308092,Ministry of Education
12565,7.06,2/1/2018,2019654,Ministry of Education
12565,7.06,4/1/2018,717780,Ministry of Education
12565,7.06,4/1/2017,1054740,Ministry of Education
12565,7.06,1/1/2018,130870,Ministry of Education
12565,7.06,10/1/2017,1185600,Ministry of Education
12565,7.06,5/1/2018,1053108,Ministry of Education
12565,7.06,11/1/2017,455224,Ministry of Education
12565,7.06,8/1/2017,93496,Ministry of Housing
12565,7.06,9/1/2017,245994,Ministry of Housing
12565,7.06,2/1/2018,307168,Ministry of Housing
12565,7.06,7/1/2017,418524,Ministry of Housing
12565,7.06,5/1/2018,307557,Ministry of Housing
12565,7.06,1/1/2018,102351,Ministry of Housing
12565,7.06,11/1/2017,707805,Ministry of Housing
12565,7.06,6/1/2017,477952,Ministry of Housing
12565,7.06,12/1/2017,535248,Ministry of Housing
12565,7.06,3/1/2018,395648,Ministry of Housing
12565,7.06,5/1/2017,121460,Ministry of Housing
12565,7.06,4/1/2018,81952,Ministry of Housing
12565,7.06,4/1/2017,393680,Ministry of Housing
12565,7.06,10/1/2017,134130,Ministry of Housing
12709,4.06,11/1/2017,13500,Ministry of Housing
12709,4.06,2/1/2018,16200,Ministry of Housing
12709,4.06,5/1/2018,6075,Ministry of Housing
13593,7.32,11/1/2017,3000,Ministry of Housing
